timestamp;temperaturedegre;ramutilisee;ramtotale;rampourcentage;cpuload;cpuloadpourcentage;rootutilise;rootdisponible;rootpourcentage;datautilise;datadisponible;datapourcentage
2025-10-25 01:40:39;56.9;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:40:49;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:41:00;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:41:10;56.4;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:41:20;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:41:31;56.4;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:41:41;56.9;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:41:52;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:42:02;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:42:12;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:42:23;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:42:33;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:42:43;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:42:54;56.4;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:43:04;56.9;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:43:15;56.4;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:43:25;56.4;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:43:35;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:43:46;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:43:56;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:44:06;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:44:17;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:44:27;56.4;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:44:38;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:44:48;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:44:58;56.4;341;906;37.6;0;0;19;37;35;286;646;31
2025-10-25 01:45:09;55.3;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 01:45:19;56.4;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:45:30;56.4;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:45:40;55.8;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:45:50;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:46:01;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:46:11;55.8;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:46:21;55.3;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:46:32;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:46:42;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:46:53;56.4;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:47:03;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:47:13;56.4;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:47:24;56.4;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:47:34;56.4;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:47:44;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:47:55;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:48:05;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:48:16;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:48:26;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:48:36;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:48:47;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:48:57;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:49:08;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:49:18;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:49:28;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:49:39;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:49:49;55.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:50:00;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:50:10;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 01:50:20;55.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:50:31;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:50:41;55.3;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:50:51;55.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:51:02;55.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:51:12;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 01:51:23;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:51:33;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:51:43;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:51:54;55.8;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 01:52:04;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:52:14;55.8;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:52:25;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:52:35;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:52:46;56.4;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:52:56;55.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:53:06;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:53:17;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:53:27;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:53:38;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:53:48;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:53:58;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:54:09;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:54:19;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:54:30;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:54:40;55.8;340;906;37.5;0;0;19;37;35;286;646;31
2025-10-25 01:54:50;55.8;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 01:55:01;55.3;341;906;37.6;0;0;19;37;35;286;646;31
2025-10-25 01:55:11;55.3;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 01:55:21;55.3;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:55:32;55.3;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:55:42;55.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:55:53;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:56:03;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:56:13;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:56:24;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:56:34;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:56:44;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:56:55;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:57:05;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:57:16;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:57:26;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:57:36;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:57:47;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:57:57;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 01:58:08;55.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:58:18;55.8;343;906;37.9;0;0;19;37;35;286;646;31
2025-10-25 01:58:28;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 01:58:39;54.2;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 01:58:49;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:59:00;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:59:10;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:59:20;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:59:31;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 01:59:41;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 01:59:51;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:00:02;55.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:00:12;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:00:23;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:00:33;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:00:43;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:00:54;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:01:04;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:01:15;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:01:25;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:01:35;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:01:46;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:01:56;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:02:06;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:02:17;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:02:27;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:02:38;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:02:48;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:02:58;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:03:09;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:03:19;55.3;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:03:30;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:03:40;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:03:50;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:04:01;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:04:11;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:04:21;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:04:32;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:04:42;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:04:53;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:05:03;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:05:13;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:05:24;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:05:34;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:05:45;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:05:55;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:06:05;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:06:16;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:06:26;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:06:37;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:06:47;55.3;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:06:57;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:07:08;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:07:18;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:07:29;54.8;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 02:07:39;54.2;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 02:07:49;54.8;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 02:08:00;55.3;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:08:10;55.3;342;906;37.7;0;0;19;37;35;286;646;31
2025-10-25 02:08:20;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:08:31;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:08:41;54.2;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:08:52;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:09:02;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:09:12;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:09:23;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:09:33;54.2;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:09:43;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:09:54;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:10:04;55.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:10:15;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:10:25;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:10:35;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:10:46;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:10:56;53.7;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:11:07;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:11:17;54.2;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:11:27;55.3;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:11:38;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:11:48;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:11:59;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:12:09;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:12:19;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:12:30;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:12:40;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:12:51;54.2;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:13:01;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:13:11;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:13:22;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:13:32;53.7;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:13:42;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:13:53;55.3;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:03;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:14;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:24;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:34;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:45;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:14:55;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:06;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:16;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:26;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:37;55.3;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:47;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:15:57;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:16:08;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:16:18;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:16:29;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:16:39;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:16:49;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:17:00;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:17:10;54.2;341;906;37.6;0;0;19;37;35;286;646;31
2025-10-25 02:17:20;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:17:31;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:17:41;53.7;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:17:52;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:18:02;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:18:12;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:18:23;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:18:33;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:18:44;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:18:54;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:19:04;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:19:15;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:19:25;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:19:35;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:19:46;54.2;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:19:56;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:20:07;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:20:17;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:20:27;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:20:38;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:20:48;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:20:58;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:21:09;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:21:19;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:21:30;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:21:40;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:21:50;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:22:01;55.3;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:22:11;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:22:22;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:22:32;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:22:42;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:22:53;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:23:03;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:23:14;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:23:24;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:23:34;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:23:45;53.7;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:23:55;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:05;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:16;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:26;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:37;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:47;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:24:57;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:25:08;54.2;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:25:18;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:25:28;54.8;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:25:39;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:25:49;53.7;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:26:00;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:26:10;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:26:20;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:26:31;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:26:41;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:26:51;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:27:02;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:27:12;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:27:23;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:27:33;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:27:43;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:27:54;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:28:04;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:28:15;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:28:25;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:28:35;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:28:46;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:28:56;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:29:06;53.7;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:29:17;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:29:27;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:29:38;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:29:48;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:29:58;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:30:09;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:30:19;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:30:30;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:30:40;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:30:50;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:31:01;54.8;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:31:11;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:31:21;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:31:32;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:31:42;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:31:53;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:32:03;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:32:13;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:32:24;54.8;349;906;38.5;0;0;19;37;35;286;646;31
2025-10-25 02:32:34;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:32:45;54.8;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:32:55;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:33:05;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:33:16;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:33:26;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:33:37;53.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:33:47;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:33:57;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:34:08;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:34:18;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:34:28;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:34:39;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:34:49;54.8;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:35:00;53.7;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:35:10;53.7;344;906;38.0;0;0;19;37;35;286;646;31
2025-10-25 02:35:20;54.2;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:35:31;54.2;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:35:41;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:35:52;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:36:02;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:36:12;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:36:23;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:36:33;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:36:44;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:36:54;53.7;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:37:04;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:37:15;53.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:37:25;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:37:35;54.2;348;906;38.4;0;0;19;37;35;286;646;31
2025-10-25 02:37:46;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:37:56;54.8;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:38:07;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:38:17;53.7;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:38:27;53.7;346;906;38.2;0;0;19;37;35;286;646;31
2025-10-25 02:38:38;54.2;347;906;38.3;0;0;19;37;35;286;646;31
2025-10-25 02:38:48;53.7;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:38:59;53.7;345;906;38.1;0;0;19;37;35;286;646;31
2025-10-25 02:39:09;54.2;346;906;38.2;0;0;19;37;35;286;646;31
